Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Horse Name,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price
1,0062,"Taylor Made Sales Agency, Agent for WinStar Farm Bred & Raised ","","Cyber Security","","DB/BR",Colt,"Cyber Security","Quality Road","Checkupfromzneckup","","","","","Out",0
1,0063,"Gainesway, Agent XXX ","","Quality Road --- Cherry Lodge","","B",Filly,"","Quality Road","Cherry Lodge","","","","","Out",0
1,0064,"Lane's End, Agent ","","Crown of Cortez","","B",Filly,"Crown of Cortez","Quality Road","Christies Treasure","","","","","Out",0
1,0065,"Candy Meadows Sales, Agent I ","","McKinzie --- Church by the Sea","","B",Colt,"","McKinzie","Church by the Sea","","","","","Yoshizawa Stable Co., Ltd.",400000
1,0066,"Machmer Hall Sales, Agent for Machmer Hall and D & J Racing ","","Medaglia d'Oro --- Claire's Song","","DB/BR",Filly,"","Medaglia d'Oro","Claire's Song","","","","","Spendthrift Farm LLC",525000
1,0067,"Clearsky Farms, Agent IV ","","Authentic --- Classic Strike","","DB/BR",Colt,"","Authentic","Classic Strike","","","","","Donegal/J.Crawford/West Paces/L.Connolly",500000
1,0068,"Taylor Made Sales Agency, Agent for WinStar Farm Bred & Raised ","","Charisma","","CH",Colt,"Charisma","Curlin","Coach Rocks","","","","","Out",0
1,0069,"Lane's End, Agent ","","Quality Road --- Constellation","","DB/BR",Filly,"","Quality Road","Constellation","","","","","Solis/Litt",200000
1,0070,"Eaton Sales, Agent ","","Uncle Mo --- Corderosa","","B",Colt,"","Uncle Mo","Corderosa","","","","","Out",0
1,0071,"Taylor Made Sales Agency, Agent CXLVII ","","Authentic --- Corps de Ballet","","B",Colt,"","Authentic","Corps de Ballet","","","","","Spendthrift / BSW / Crow Colts Group",250000
1,0072,"Hunter Valley Farm, Agent ","","Kingman (GB) --- Could It Be Love","","B",Filly,"","Kingman (GB)","Could It Be Love","","","","","Case Clay Thoroughbred Management, Agent",625000
1,0073,"Eaton Sales, Agent for WinStar Farm Bred & Raised ","","My Shot","","DB/BR",Filly,"My Shot","Constitution","Covenant","","","","","Greg Tramontin",240000
1,0074,"Taylor Made Sales Agency, Agent LXVIII ","","Bolt d'Oro --- Creative Contessa","","B",Colt,"","Bolt d'Oro","Creative Contessa","","","","","R.N.A. (285,000)",---
1,0075,"Paramount Sales, Agent XLVIII ","","Gun Runner --- Cuaba","","B",Colt,"","Gun Runner","Cuaba","","","","","BC Stables LLC",625000
1,0076,"Gainesway, Agent XIV ","","Into Mischief --- Curlin's Approval","","B",Colt,"","Into Mischief","Curlin's Approval","","","","","Mike Ryan, Agent",725000
1,0077,"ELiTE, Agent ","","Arde Fox","","B",Colt,"Arde Fox","Medaglia d'Oro","Curlin's Fox","","","","","Swynford Management",325000
1,0078,"Gainesway, Agent XIV ","","Gun Runner --- Curlin's Mistress","","CH",Colt,"","Gun Runner","Curlin's Mistress","","","","","Klaravich Stable",500000
1,0079,"Warrendale Sales, Agent XXVI ","","Gun Runner --- Curls and Bows","","CH",Colt,"","Gun Runner","Curls and Bows","","","","","Hoby Kight, Agent",180000
1,0080,"Brookdale Sales, Agent ","","Sea Runner","","B",Filly,"Sea Runner","Gun Runner","Cuyathy","","","","","R.N.A. (300,000)",---
1,0081,"Taylor Made Sales Agency, Agent CI ","","Authentic Kingdom","","B",Colt,"Authentic Kingdom","Authentic","Cyrielle","","","","","Louisiana Leasing",120000
1,0082,"Denali Stud, Agent XXVIII ","","Into Mischief --- Czarina","","B",Filly,"","Into Mischief","Czarina","","","","","Summer Wind Equine",350000
1,0083,"Clearsky Farms, Agent I ","","Il Cavallino","","DB/BR",Colt,"Il Cavallino","Into Mischief","Daisy","","","","","Gavin O'Connor, Agent for John Stewart",800000
1,0084,"St George Sales, Agent X ","","King's Road","","GR/RO",Colt,"King's Road","Quality Road","Daisy Miller (GB)","","","","","Donato Lanni, Agt. for SF/Starlight/Madaket",525000
1,0085,"Hill 'n' Dale at Xalapa, Agent ","","Justify --- Damson (IRE)","","DB/BR",Filly,"","Justify","Damson (IRE)","","","","","BBA Ireland Limited",155000
1,0086,"Gainesway, Agent XXX ","","Tapit --- Danzatrice","","GR/RO",Filly,"","Tapit","Danzatrice","","","","","Out",0
1,0087,"Warrendale Sales, Agent for WinStar Farm Bred & Raised ","","Curlin --- Dark Nile","","B",Colt,"","Curlin","Dark Nile","","","","","West Bloodstock, Agent for Repole Stable",450000
1,0088,"Glen Hill Farm ","","Justify --- Data Dependent","","CH",Colt,"","Justify","Data Dependent","","","","","R.N.A. (285,000)",---
1,0089,"Taylor Made Sales Agency, Agent LXVI ","","Second Date","","B",Filly,"Second Date","Authentic","Date to Remember","","","","","Summer Wind Equine",450000
1,0090,"Mt. Brilliant Farm, Agent ","","Black Dog","","B",Filly,"Black Dog","Quality Road","Declarationwarrior","","","","","Greg Tramontin",375000
1,0091,"Machmer Hall Sales, Agent for Machmer Hall ","","Speightstown --- Defy","","B",Filly,"","Speightstown","Defy","","","","","West Bloodstock, Agent for Repole Stable",195000
1,0092,"Gainesway, Agent XXIII ","","Metfardeh","","B",Filly,"Metfardeh","Into Mischief","Delightful Joy","","","","","Shadwell Racing, LLC",2300000
1,0093,"Hill 'n' Dale at Xalapa, Agent ","","Just Groovy","","CH",Filly,"Just Groovy","Curlin","Discern","","","","","Out",0
1,0094,"Hunter Valley Farm, Agent ","","Sansone","","DB/BR",Colt,"Sansone","Uncle Mo","Diva Delite","","","","","Sonson, Woodford, West Point, LEB, Agent",1350000
1,0095,"Taylor Made Sales Agency, Agent CLXXI ","","Athaliah","","B",Filly,"Athaliah","Gun Runner","Divine Elegance","","","","","Bregman Family Racing, LLC",480000
1,0096,"Betz Thoroughbreds, Inc., Agent ","","Tapit --- Divine Queen","","GR/RO",Colt,"","Tapit","Divine Queen","","","","","Repole Stable & Spendthrift Partners",600000
1,0097,"Greenfield Farms, Agent VII ","","Dom Traces","","DB/BR",Colt,"Dom Traces","Medaglia d'Oro","Dona Bruja (ARG)","","","","","R.N.A. (240,000)",---
1,0098,"Machmer Hall Sales, Agent for Machmer Hall ","","Hyped","","CH",Colt,"Hyped","Candy Ride (ARG)","Dontwasteurpretty","","","","","Eclipse T'Brd Partners/Walmac Farm/Bridlewood Farm",175000
1,0099,"Lane's End, Agent ","","Quality Road --- Dothraki Sea","","B",Filly,"","Quality Road","Dothraki Sea","","","","","Klaravich Stable",500000
1,0100,"Denali Stud, Agent for Stonestreet Bred & Raised ","","Tapit --- Dream Rush","","GR/RO",Colt,"","Tapit","Dream Rush","","","","","R.N.A. (435,000)",---
1,0101,"Denali Stud, Agent XXIV ","","Hypnus","","B",Colt,"Hypnus","Into Mischief","Dream Tree","","","","","R.N.A. (675,000)",---
1,0102,"Taylor Made Sales Agency, Agent XXX ","","Not This Time --- Dream Your Dreams","","CH",Filly,"","Not This Time","Dream Your Dreams","","","","","R.N.A. (195,000)",---
1,0103,"Denali Stud, Agent for Bridlewood Farm ","","Tapit --- Drumette","","B",Colt,"","Tapit","Drumette","","","","","R.N.A. (485,000)",---
1,0104,"Lane's End, Agent ","","Tapit --- Egyptian Storm","","CH",Colt,"","Tapit","Egyptian Storm","","","","","Avaz Ismoilov",150000
1,0105,"Gainesway, Agent for Coteau Grove Farms ","","Supa Speed","","CH",Filly,"Supa Speed","Justify","Elfin Queen","","","","","Boardshorts",460000
1,0106,"Gainesway, Agent XXIII ","","Foil","","DB/BR",Colt,"Foil","Street Sense","Elude","","","","","Colts Neck Stable",500000
1,0107,"Taylor Made Sales Agency, Agent LXVI ","","Liam's Map --- Emma Rose","","DB/BR",Filly,"","Liam's Map","Emma Rose","","","","","Pick View & Richardson Bloodstock",230000
1,0108,"Claiborne Farm, Agent for Wild Aire Partners, LLC ","","Skyrayleigh","","B",Colt,"Skyrayleigh","Medaglia d'Oro","Enaya Alrabb","","","","","Out",0
1,0109,"Eaton Sales, Agent ","","Uncle Mo --- Enchante","","B",Colt,"","Uncle Mo","Enchante","","","","","Out",0
1,0110,"Taylor Made Sales Agency, Agent for Aaron & Marie Jones LLC ","","Freaky","","B",Colt,"Freaky","Into Mischief","Enchanted Ghost","","","","","Eclipse T'Brd/Walmac Farm/Bridlewood Farm/LaPenta",850000
1,0111,"Hunter Valley Farm, Agent ","","Uncle Mo --- Enchanting Lady","","DB/BR",Filly,"","Uncle Mo","Enchanting Lady","","","","","West Bloodstock, Agent for Repole Stable",200000
1,0112,"Four Star Sales, Agent ","","Justify --- Etching","","B",Filly,"","Justify","Etching","","","","","Hartley/De Renzo ",275000
1,0113,"Bridie Harrison, Agent for Peter E. Blum Thoroughbreds ","","Valor","","DB/BR",Colt,"Valor","Omaha Beach","Etiquette","","","","","Out",0
1,0114,"Paramount Sales, Agent I ","","Quality Road --- Exotic Notion","","B",Colt,"","Quality Road","Exotic Notion","","","","","Aguiar / McElroy",350000
1,0115,"Glennwood Farm Inc., Agent ","","Being Myself","","CH",Filly,"Being Myself","Curlin","Fact File","","","","","Lael Stable",450000
1,0116,"Glennwood Farm Inc., Agent ","","Mama Tried","","DB/BR",Colt,"Mama Tried","Uncle Mo","Fair Huntress","","","","","R.N.A. (725,000)",---
1,0117,"Clarkland Farm, LLC ","","Authentic Legend","","CH",Colt,"Authentic Legend","Authentic","Fairyland","","","","","West Bldstk., Agt. for Robert and Lawana Low",375000
1,0118,"Hill 'n' Dale at Xalapa, Agent ","","Hollywood Fame","","DB/BR",Filly,"Hollywood Fame","American Pharoah","Famous Alice","","","","","Out",0
1,0119,"Gainesway, Agent XXXI ","","Justify --- Fashion Royalty (GB)","","B",Filly,"","Justify","Fashion Royalty (GB)","","","","","R.N.A. (435,000)",---
1,0120,"Denali Stud, Agent for WinStar Farm Bred & Raised ","","Fast Town","","DB/BR",Colt,"Fast Town","Speightstown","Fast Scene","","","","","Out",0
1,0121,"Glen Hill Farm ","","Back to Back Jax","","DB/BR",Colt,"Back to Back Jax","War Front","Figarella's Queen","","","","","Joe Hardoon, Agent",225000
1,0122,"Candy Meadows Sales, Agent I ","","Street Sense --- Film Idol","","DB/BR",Colt,"","Street Sense","Film Idol","","","","","Out",0
1,0123,"Vinery Sales, Agent LXXIX ","","More Than Ready --- Fioretti","","DB/BR",Filly,"","More Than Ready","Fioretti","","","","","Hartley/De Renzo, Agent  & Kerri Radcliffe",550000
1,0124,"Woods Edge Farm (Peter O'Callaghan), Agent ","","Vekoma --- Fire of Freedom","","CH",Colt,"","Vekoma","Fire of Freedom","","","","","Out",0
1,0125,"Warrendale Sales, Agent for WinStar Farm Bred & Raised ","","Hereforagoodtime","","CH",Filly,"Hereforagoodtime","Justify","First Hour","","","","","Boardshorts",400000
1,0126,"Taylor Made Sales Agency, Agent XXX ","","Not This Time --- Flat Out Speed","","B",Filly,"","Not This Time","Flat Out Speed","","","","","R.N.A. (185,000)",---
1,0127,"Beau Lane Bloodstock, Agent I ","","Gun Runner --- Flora Dora","","CH",Filly,"","Gun Runner","Flora Dora","","","","","Baoma Corp.",550000
1,0128,"Taylor Made Sales Agency, Agent XLVII ","","Chatter","","CH",Filly,"Chatter","Vekoma","Flutterby","","","","","S-One Bloodstock",125000
1,0129,"Hill 'n' Dale at Xalapa, Agent ","","Chelsey's Choice","","DB/BR",Filly,"Chelsey's Choice","American Pharoah","Flying the Colors","","","","","Gavin O'Connor, Agent for John Stewart",350000
1,0130,"Penn Sales, Agent for Bar C Racing Stables ","","Uncle Mo --- Forever for Now","","B",Colt,"","Uncle Mo","Forever for Now","","","","","MV Magnier",1350000
1,0131,"Clearsky Farms, Agent II ","","Medaglia d'Oro --- Foxy Danseur","","B",Colt,"","Medaglia d'Oro","Foxy Danseur","","","","","R.N.A. (270,000)",---
1,0132,"Buck Pond Farm (Douglas S. Arnold), Agent ","","Jittier Girl","","CH",Filly,"Jittier Girl","Le Havre (IRE)","Fugitive Angel","","","","","Tommy Town Thoroughbreds",300000
1,0133,"Four Star Sales, Agent ","","Just Showing Off","","B",Filly,"Just Showing Off","Justify","Gaels Win","","","","","Douglas Scharbauer",700000
1,0134,"Claiborne Farm, Agent ","","Medaglia d'Oro --- Gentle Ruler","","B    ",Filly,"","Medaglia d'Oro","Gentle Ruler","","","","","R.N.A. (235,000)",---
1,0135,"Hill 'n' Dale at Xalapa, Agent ","","Contribution","","B",Colt,"Contribution","Constitution","Gifting","","","","","Gavin O'Connor, Agent for John Stewart",850000
1,0136,"Taylor Made Sales Agency, Agent XXX ","","Into Mischief --- Girl Daddy","","B",Filly,"","Into Mischief","Girl Daddy","","","","","BSW / Crow ",700000
1,0137,"Burleson Farms, Agent ","","Street Sense --- Give My Regards","","B",Filly,"","Street Sense","Give My Regards","","","","","Out",0
1,0138,"Glen Hill Farm ","","Into Mischief --- Global Gold","","B",Filly,"","Into Mischief","Global Gold","","","","","West Bloodstock, Agent for Repole Stable",310000
1,0139,"Gainesway, Agent for Bonne Chance Farm, LLC ","","Medaglia d'Oro --- Goiaba","","B",Filly,"","Medaglia d'Oro","Goiaba","","","","","Elliott/McElroy, Agent for AMO Racing USA",650000
1,0140,"Gainesway, Agent for Bridlewood Farm ","","Authentic --- Gomo","","B",Colt,"","Authentic","Gomo","","","","","Hartley/De Renzo ",300000
1,0141,"Gainesway, Agent XXX ","","Quickick","","B",Filly,"Quickick","McKinzie","Graeme Six","","","","","Greg Tramontin",550000
1,0142,"Bluewater Sales LLC, Agent XXVI ","","Constitution --- Grand Sofia","","B",Filly,"","Constitution","Grand Sofia","","","","","Tracy Farmer",400000
1,0143,"Beau Lane Bloodstock ","","Authentic --- Grandtessa","","CH",Colt,"","Authentic","Grandtessa","","","","","Lindy Farms",90000
1,0144,"Lane's End, Agent ","","Quality Road --- Great Sister Diane","","B",Colt,"","Quality Road","Great Sister Diane","","","","","West Bloodstock, Agent for Repole Stable",725000
1,0145,"Hill 'n' Dale at Xalapa, Agent ","","Mischievous Intent","","B",Colt,"Mischievous Intent","Into Mischief","Guarana","","","","","Winchell Thoroughbreds LLC",1400000
1,0146,"Taylor Made Sales Agency, Agent for WinStar Farm Bred & Raised ","","Constitution --- Gulf Coast","","CH",Colt,"","Constitution","Gulf Coast","","","","","Albaugh Family Stables / Barry Berkelhammer, Agent",425000
1,0147,"Eaton Sales, Agent ","","Ghostrick","","B",Colt,"Ghostrick","Into Mischief","Halo Humor","","","","","Gavin O'Connor, Agent for John Stewart",1000000
1,0148,"Eaton Sales, Agent ","","Uncle Mo --- Hang a Star","","B",Colt,"","Uncle Mo","Hang a Star","","","","","Talla Racing/ Kim Lloyd, Agent",900000
1,0149,"Hunter Valley Farm, Agent ","","Into Mischief --- Harvestfortheworld (IRE)","","DB/BR",Colt,"","Into Mischief","Harvestfortheworld (IRE)","","","","","Stripes Stable, LLC for RT Racing",500000
1,0150,"Highgate Sales, Agent IX ","","Planning","","DB/BR",Filly,"Planning","Not This Time","Havin' a Party","","","","","Eclipse T'Brd Partners/Gary Barber/Bridlewood Farm",275000
1,0151,"Stonehaven Steadings ","","Not This Time --- Heart of Paradise","","B",Filly,"","Not This Time","Heart of Paradise","","","","","Mayberry Farm",550000
1,0152,"Gainesway, Agent VIII ","","Nyquist --- Heavenly Love","","B",Colt,"","Nyquist","Heavenly Love","","","","","Out",0
1,0153,"Taylor Made Sales Agency, Agent LXVI ","","Nyquist --- Heavenly View","","DB/BR",Colt,"","Nyquist","Heavenly View","","","","","Mayberry Farm",550000
1,0154,"Runnymede Farm LLC, Agent ","","Uncle Mo --- Helena Bay (GB)","","DB/BR",Colt,"","Uncle Mo","Helena Bay (GB)","","","","","Donato Lanni, Agent for Zedan Racing",2000000
1,0155,"Gainesway, Agent XX ","","Reynolds","","GR/RO",Colt,"Reynolds","Munnings","Hit It Rich","","","","","Donato Lanni, Agt. for SF/Starlight/Madaket",525000
1,0156,"Denali Stud, Agent XLI ","","Agia Marina","","B",Filly,"Agia Marina","Quality Road","Hot Cash","","","","","Skara Glen Stables",675000
1,0157,"Clarkland Farm, LLC ","","Not This Time --- Hot Stones","","DB/BR",Colt,"","Not This Time","Hot Stones","","","","","D. Farrington",100000
1,0158,"Gainesway, Agent for Stonestreet Bred & Raised ","","Into Mischief --- Houtzen (AUS)","","B",Colt,"","Into Mischief","Houtzen (AUS)","","","","","Out",0
1,0159,"Gainesway, Agent XIII ","","Quality Road --- Hungry Island","","B",Colt,"","Quality Road","Hungry Island","","","","","Out",0
1,0160,"Taylor Made Sales Agency, Agent CXLII ","","Into Mischief --- I Dare U","","B",Filly,"","Into Mischief","I Dare U","","","","","Out",0
1,0161,"Denali Stud, Agent XLV ","","Gun Runner --- If Not For Her","","CH",Colt,"","Gun Runner","If Not For Her","","","","","Out",0
1,0162,"Gainesway, Agent XL ","","Into Mischief --- I'll Take Charge","","B",Colt,"","Into Mischief","I'll Take Charge","","","","","Jersey City Destroyers Stables",1700000
1,0163,"Lane's End, Agent ","","Beauty Reigns","","GR/RO",Filly,"Beauty Reigns","Into Mischief","Ilsa","","","","","Out",0
1,0164,"Dixiana Farms LLC ","","Nantucket","","CH",Colt,"Nantucket","Munnings","I'm a Flake","","","","","CHC Inc., Maverick Racing, & Siena Farm",300000
1,0165,"Warrendale Sales, Agent for Silesia Farm ","","Authentic --- Impeccable Style","","CH",Colt,"","Authentic","Impeccable Style","","","","","Rodolphe Brisset, Agent for Storyteller",400000
1,0166,"Gainesway, Agent for Blue Diamond Stud LLC ","","Curlin --- I'm Wonderful","","B",Filly,"","Curlin","I'm Wonderful","","","","","Bradley Thoroughbreds LLC, Agent",150000
1,0167,"Betz Thoroughbreds, Inc., Agent ","","Uncle Mo --- Indian Gardens","","DB/BR",Filly,"","Uncle Mo","Indian Gardens","","","","","Marvin Alan Boyd",200000
1,0168,"Bridie Harrison, Agent for Peter E. Blum Thoroughbreds ","","Innovator","","DB/BR",Colt,"Innovator","Authentic","Inspired","","","","","BC Stables LLC",900000
